gauge_id,country,gauge_name,water_body_name,id6,water_body_type,gauge_lon,gauge_lat,gauge_easting,gauge_northing,gauge_elevation,area,elev_mean,elev_min,elev_percentile10,elev_percentile25,elev_percentile50,elev_percentile75,elev_percentile90,elev_max,slope_mean,flat_area_perc,steep_area_perc,ind_start_date,ind_end_date,ind_number_of_years,p_mean,pet_mean,aridity,p_seasonality,frac_snow,high_prec_freq,high_prec_dur,high_prec_timing,low_prec_freq,low_prec_dur,low_prec_timing,sign_start_date,sign_end_date,sign_number_of_years,q_mean,runoff_ratio,stream_elas,slope_fdc,baseflow_index_landson,hfd_mean,Q5,Q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q_freq,sand_perc,sand_perc_5,sand_perc_25,sand_perc_50,sand_perc_75,sand_perc_90,sand_perc_skewness,sand_perc_missing,silt_perc,silt_perc_5,silt_perc_25,silt_perc_50,silt_perc_75,silt_perc_90,silt_perc_skewness,silt_perc_missing,clay_perc,clay_perc_5,clay_perc_25,clay_perc_50,clay_perc_75,clay_perc_90,clay_perc_skewness,clay_perc_missing,organic_perc,organic_perc_5,organic_perc_25,organic_perc_50,organic_perc_75,organic_perc_90,organic_perc_skewness,organic_perc_missing,bulk_dens,bulk_dens_5,bulk_dens_25,bulk_dens_50,bulk_dens_75,bulk_dens_90,bulk_dens_skewness,bulk_dens_missing,tot_avail_water,tot_avail_water_5,tot_avail_water_25,tot_avail_water_50,tot_avail_water_75,tot_avail_water_90,tot_avail_water_skewness,tot_avail_water_missing,root_depth,root_depth_5,root_depth_25,root_depth_50,root_depth_75,root_depth_90,root_depth_skewness,root_depth_missing,coarse_fragm_perc,coarse_fragm_perc_5,coarse_fragm_perc_25,coarse_fragm_perc_50,coarse_fragm_perc_75,coarse_fragm_perc_90,coarse_fragm_perc_skewness,coarse_fragm_perc_missing,porosity,porosity_5,porosity_25,porosity_50,porosity_75,porosity_90,porosity_skewness,porosity_missing,conductivity,conductivity_5,conductivity_25,conductivity_50,conductivity_75,conductivity_90,conductivity_skewness,conductivity_missing,geo_porosity,geo_log10_permeability,unconsol_sediments,siliciclastic_sedimentary,mixed_sedimentary,carbonate_sedimentary,pyroclastic,acid_volcanic,basic_volcanic,acid_plutonic,intermediate_plutonic,basic_plutonic,metamorphics,water_geo,ice_geo,crop_perc,grass_perc,scrub_perc,dwood_perc,mixed_wood_perc,ewood_perc,wetlands_perc,inwater_perc,ice_perc,loose_rock_perc,rock_perc,urban_perc,dom_land_cover,glac_area,glac_vol,glac_mass,glac_area_neighbours,n_inhabitants,dens_inhabitants,hp_count,hp_qturb,hp_inst_turb,hp_max_power,num_reservoir,reservoir_cap,reservoir_he,reservoir_fs,reservoir_irr,reservoir_nousedata,reservoir_year_first,reservoir_year_last,unconsol_coarse_perc,unconsol_medium_perc,unconsol_fine_perc,unconsol_imperm_perc,hardrock_perc,hardrock_imperm_perc,karst_perc,water_perc,null_perc,ext_area_perc
2160,CH,Broc-Château_d'en_bas,Sarine,SarBro,stream,7.09,46.6,2573520,1161345,690.0,636.2,1500.59,683.12,977.55,1220.37,1475.43,1748.1,2026.48,3204.46,22.23,3.92,71.03,1981-10-01,2020-09-30,39,4.189,1.496,0.357,0.132,0.233,18.359,1.216,jja,211.227,3.701,son,1981-10-01,2020-09-30,39,2.843,0.679,1.327,2.235,0.626,209.59,0.678,7.462,0.641,1.389,5.333,4.426,0.0,61.167,38.061,42.966,72.469,76.187,79.014,-0.622,12.96,24.545,12.125,15.258,17.772,35.01,37.667,0.552,12.96,14.288,6.501,8.617,11.758,18.751,26.844,0.345,12.96,1.221,0.424,0.638,0.826,1.306,1.693,0.133,12.96,1.451,1.242,1.369,1.436,1.586,1.64,0.082,12.96,91.549,28.383,80.201,105.702,113.176,113.374,-0.438,12.96,0.977,0.034,0.755,1.169,1.234,1.287,-0.384,0.0,7.791,2.876,4.746,4.812,9.018,18.635,0.509,12.96,47.971,45.711,47.205,48.115,49.097,50.532,-0.068,0.03,35.546,4.253,27.396,29.887,53.822,79.219,0.248,0.03,0.061,-12.09,14.62,0.0,7.71,76.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.4,1.92,48.91,0.34,0.24,7.38,26.2,1.99,0.4,0.54,4.12,5.8,2.17,grass_perc,2.6273,0.10744,91.328,0.0,31328,49.242,1,2.5,18.0,18.0,5,70900.0,1.0,0.0,0.0,0.0,1942.0,1973.0,1.08,1.7,10.599,1.25,20.688,42.546,21.248,0.89,0.0,0.0
2161,CH,Blatten_bei_Naters,Massa,MasBla,stream,8.01,46.39,2643700,1137290,1484.0,195.5,2929.36,1472.64,2254.08,2595.21,2968.71,3308.31,3533.94,4088.8,23.32,5.13,68.86,1981-10-01,2020-09-30,39,5.578,0.776,0.139,0.11,0.668,18.0,1.225,jja,205.586,3.489,son,1981-10-01,2020-09-30,39,6.492,1.164,-0.031,8.849,0.613,295.923,0.118,25.058,93.152,18.631,184.612,79.121,0.0,74.935,65.765,73.148,75.125,77.103,85.443,-0.035,90.88,15.871,9.29,13.23,15.529,17.827,23.969,0.076,90.88,9.194,5.396,9.091,9.413,9.79,10.45,-0.149,90.88,0.783,0.428,0.433,0.438,0.987,1.317,0.765,90.88,1.593,1.556,1.582,1.588,1.589,1.696,0.136,90.88,54.922,20.307,51.264,69.28,74.039,99.16,-0.445,90.88,0.068,0.005,0.027,0.054,0.082,0.661,0.054,0.0,15.055,2.977,7.325,15.429,18.238,20.448,-0.06,90.88,39.495,21.917,22.977,41.226,52.308,56.003,-0.13,30.23,27.425,26.148,26.705,27.251,27.638,49.86,0.046,30.23,0.005,-17.33,0.52,0.0,0.0,0.02,0.0,0.0,0.0,16.75,0.0,0.0,27.68,0.07,54.96,0.0,3.51,0.0,0.0,0.0,1.57,0.0,0.0,67.54,4.25,23.14,0.0,ice_perc,117.7309,15.44193,13125.641,0.0,0,0.0,0,0.0,0.0,0.0,1,560.0,0.0,0.0,1.0,0.0,1986.0,1986.0,0.0,0.0,0.53,0.0,23.94,20.49,0.02,55.02,0.0,0.0
2167,CH,Ponte_Tresa-Rocchetta,Tresa,TrePon,stream,8.85,45.97,2709580,1092145,277.0,609.1,804.3,270.89,283.68,423.42,740.71,1101.84,1427.97,2207.79,20.02,13.19,65.41,1981-10-01,2020-09-30,39,4.852,2.518,0.519,0.364,0.043,23.025,1.367,son,250.714,5.478,djf,1981-10-01,2020-09-30,39,3.036,0.626,1.599,2.096,0.602,188.615,0.697,9.727,3.641,4.897,11.538,11.25,0.0,54.191,37.308,41.617,45.229,70.632,86.366,0.515,8.21,28.815,9.095,17.755,34.079,35.474,41.496,-0.475,8.21,16.994,4.615,10.391,19.203,23.164,24.286,-0.303,8.21,1.059,0.405,0.529,0.777,1.498,2.036,0.484,8.21,1.447,1.286,1.297,1.418,1.546,1.719,0.209,8.21,72.17,32.186,44.911,85.687,98.783,109.748,-0.447,8.21,0.847,0.056,0.407,1.003,1.152,1.27,-0.324,0.0,10.59,2.646,3.877,10.512,15.745,20.04,0.014,8.21,47.848,45.792,46.672,47.429,48.862,50.987,0.256,6.51,44.488,2.713,26.704,44.913,69.856,94.434,-0.013,6.51,0.046,-12.904,15.21,0.61,3.86,27.65,0.0,3.6,2.89,0.26,0.0,0.0,40.03,5.89,0.0,2.52,11.06,1.02,55.82,1.61,3.13,2.16,8.16,0.0,0.71,0.0,13.81,dwood_perc,0.0,0.0,0.0,0.0,212454,348.8,0,0.0,0.0,0.0,0,0.0,,,,,,,0.67,2.96,9.27,0.0,23.26,31.05,25.37,7.42,0.0,0.0
2168,CH,Sempach,Sempachersee,SeSSem,lake,8.19,47.13,2656940,1220640,502.0,75.4,586.38,500.02,500.02,513.73,564.15,638.85,717.21,832.16,4.08,46.09,0.87,1981-10-01,2020-09-30,39,3.135,1.657,0.528,0.347,0.041,17.871,1.173,jja,225.688,3.822,son,,,0,,,,,,,,,,,,,,41.431,37.453,40.445,40.833,42.425,43.931,0.216,18.11,35.773,34.437,34.987,35.466,36.532,38.083,0.25,18.11,22.796,20.122,20.611,24.079,24.95,25.415,-0.528,18.11,0.654,0.505,0.585,0.639,0.718,0.72,0.2,18.11,1.393,1.367,1.377,1.385,1.407,1.416,0.394,18.11,91.957,63.447,95.393,95.449,101.785,110.033,-0.202,18.11,0.982,0.133,0.633,0.98,1.314,1.463,0.004,0.0,11.941,4.645,5.553,13.62,15.704,16.679,-0.31,18.11,45.883,44.347,45.193,45.81,46.548,47.626,0.072,16.8,39.662,4.341,12.182,52.537,57.402,69.693,-0.467,16.8,0.125,-13.529,37.44,0.0,43.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.81,0.0,62.26,0.0,2.94,0.0,4.02,4.98,0.0,19.09,0.0,0.0,0.0,6.72,crop_perc,0.0,0.0,0.0,0.0,21324,282.812,0,0.0,0.0,0.0,0,0.0,,,,,,,0.32,4.1,33.02,0.0,0.0,43.74,0.0,18.81,0.0,0.01
2170,CH,Genève-Bout_du_Monde,Arve,ArvGen,stream,6.16,46.18,2501220,1115120,383.0,1975.8,1373.77,382.88,511.99,789.41,1243.2,1786.77,2389.03,4787.66,19.92,11.6,59.09,1981-10-01,2020-09-30,39,4.069,1.781,0.438,0.012,0.196,19.948,1.19,djf,219.97,3.988,son,1981-10-01,2020-09-30,39,3.252,0.799,1.05,1.783,0.703,221.769,0.917,7.487,0.077,1.0,2.846,4.625,0.0,36.945,19.594,32.758,37.604,42.317,51.898,-0.056,4.11,35.615,25.124,33.671,34.81,37.292,43.388,0.132,4.11,27.44,13.433,20.223,23.83,29.311,46.284,0.33,4.11,1.36,0.456,0.575,1.489,2.084,2.302,-0.175,4.11,1.341,1.249,1.268,1.375,1.386,1.414,-0.49,4.11,56.724,41.385,43.966,48.263,58.755,110.642,0.384,4.11,0.537,0.106,0.348,0.458,0.634,1.126,0.226,0.0,12.529,3.409,6.724,14.299,18.491,20.703,-0.263,4.11,46.543,39.502,44.94,47.244,49.642,51.78,-0.134,0.56,46.323,3.353,28.176,31.257,69.094,120.75,0.455,0.56,0.088,-12.771,7.76,14.19,22.67,38.68,0.0,0.0,0.0,8.44,0.0,0.0,8.24,0.0,0.01,11.84,18.2,0.36,7.54,12.89,15.16,3.83,0.09,5.04,4.78,12.3,7.97,grass_perc,0.0686,0.00392,3.333,101.6663,359291,181.846,0,0.0,0.0,0.0,0,0.0,,,,,,,0.14,7.41,24.01,1.41,26.24,17.06,19.7,4.02,0.01,0.0
2174,CH,Chancy-Aux_Ripes,Rhône,RhoCha,stream,5.97,46.15,2486600,1112340,339.0,10312.7,1569.92,335.89,432.54,709.14,1464.81,2302.79,2864.01,4787.66,19.74,16.83,59.3,1981-10-01,2020-09-30,39,3.612,1.775,0.491,0.055,0.292,17.923,1.195,son,210.971,3.854,son,1981-10-01,2020-09-30,39,2.881,0.798,0.992,1.21,0.742,213.103,0.966,5.34,0.0,0.0,0.359,1.167,0.0,51.773,20.138,37.421,42.289,72.807,87.505,0.451,26.57,27.872,8.456,16.827,33.567,35.707,43.435,-0.511,26.57,20.355,4.675,9.761,20.132,24.747,45.078,0.018,26.57,1.169,0.388,0.501,0.704,1.55,2.3,0.208,26.57,1.438,1.25,1.361,1.387,1.564,1.735,0.324,26.57,70.442,24.515,44.55,69.105,101.463,113.161,0.042,26.57,0.631,0.018,0.092,0.491,1.197,1.279,0.253,0.0,10.881,2.713,4.441,9.973,16.885,20.613,0.136,26.57,46.017,37.822,44.291,47.432,49.642,52.238,-0.229,7.65,45.982,15.383,27.804,30.668,69.115,120.817,0.458,7.65,0.066,-13.158,22.19,9.47,12.43,25.33,0.0,0.0,0.72,3.72,0.0,0.19,17.7,3.29,4.96,10.44,16.64,1.63,3.79,7.61,16.26,2.64,5.87,7.98,5.75,14.63,6.77,grass_perc,646.8654,51.1206,43452.507,102.5193,2021800,196.05,34,468.24,3706.43,3551.05,33,1242503.0,0.999,0.0,0.001,0.0,1914.0,1989.0,1.32,3.94,22.9,0.45,22.76,22.97,13.94,11.71,0.0,0.01
2176,CH,Zürich-Sihlhölzli,Sihl,SihZue,stream,8.53,47.37,2682145,1246890,418.0,342.6,1046.83,414.87,635.89,863.99,1009.18,1267.9,1474.76,2215.94,14.35,12.88,41.97,1981-10-01,2020-09-30,39,4.944,1.614,0.326,0.294,0.134,16.179,1.156,jja,202.099,3.488,son,1981-10-01,2020-09-30,39,1.712,0.346,0.987,1.348,0.607,198.564,0.722,4.702,3.744,1.446,0.0,0.0,0.0,53.707,37.623,40.448,45.667,65.624,78.036,0.517,3.21,28.857,12.521,22.676,32.11,34.626,37.837,-0.347,3.21,17.436,6.836,11.349,15.8,24.83,27.146,0.214,3.21,1.563,0.41,0.455,0.589,0.737,1.694,0.184,3.21,1.428,1.23,1.377,1.423,1.542,1.628,0.023,3.21,98.555,67.731,95.405,104.725,106.061,113.265,-0.247,3.21,1.183,0.352,1.16,1.217,1.275,1.428,-0.112,0.0,7.872,2.593,3.423,4.764,13.253,16.801,0.532,3.21,48.953,44.567,47.823,49.203,50.589,51.654,-0.117,2.32,23.813,3.238,6.667,22.662,31.648,75.324,0.047,2.32,0.072,-12.536,36.83,0.0,24.55,35.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.02,0.0,11.64,32.65,1.58,0.07,13.49,27.99,1.94,3.13,0.0,1.43,0.43,5.66,grass_perc,0.0,0.0,0.0,0.0,99541,290.546,0,0.0,0.0,0.0,1,391.0,0.0,1.0,0.0,0.0,2006.0,2006.0,0.84,9.59,24.2,2.21,16.14,40.59,3.41,3.02,0.0,0.0
2179,CH,Thörishaus-Sensematt,Sense,SenTho,stream,7.35,46.89,2593350,1193020,558.0,351.2,1075.48,555.96,743.08,818.73,966.2,1327.52,1538.82,2149.29,13.94,6.84,37.08,1981-10-01,2020-09-30,39,3.921,1.647,0.42,0.28,0.1,18.154,1.155,jja,214.971,3.736,son,1981-10-01,2020-09-30,39,2.12,0.541,1.277,2.076,0.577,193.59,0.547,6.079,2.308,1.169,4.385,5.029,0.0,53.77,35.813,40.481,44.371,69.083,78.716,0.549,0.0,28.795,12.23,18.174,33.657,35.138,41.465,-0.429,0.0,17.435,6.59,10.583,19.028,24.451,27.981,-0.203,0.0,2.263,0.419,0.444,0.689,1.432,1.697,0.24,0.0,1.395,0.984,1.372,1.419,1.543,1.637,-0.088,0.0,100.117,62.622,91.176,104.79,106.816,113.384,-0.132,0.0,1.187,0.557,1.121,1.195,1.248,1.29,-0.032,0.0,8.699,2.334,3.98,4.911,15.529,16.966,0.61,0.0,47.429,45.136,46.075,47.166,48.81,49.825,0.165,0.04,43.91,3.455,23.337,52.033,69.064,79.649,-0.298,0.04,0.101,-13.234,24.33,0.0,44.02,31.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,29.18,30.73,1.04,0.08,11.86,23.08,0.0,0.13,0.0,2.36,0.0,1.54,grass_perc,0.0,0.0,0.0,0.0,24999,71.182,0,0.0,0.0,0.0,0,0.0,,,,,,,0.0,5.23,19.1,0.0,38.71,28.78,8.05,0.13,0.0,0.0
2181,CH,Halden,Thur,ThuHal,stream,9.21,47.51,2733560,1263180,462.0,1085.0,913.5,456.98,576.98,676.76,848.45,1062.29,1340.85,2432.11,12.64,13.79,31.86,1981-10-01,2020-09-30,39,4.366,1.517,0.348,0.286,0.108,15.718,1.177,jja,202.689,3.487,son,1981-10-01,2020-09-30,39,2.98,0.683,1.355,2.243,0.521,196.872,0.547,8.831,3.667,1.288,23.487,6.361,0.0,47.277,26.74,40.492,41.442,51.219,76.971,0.398,2.08,32.834,15.161,30.686,34.677,35.65,48.677,-0.192,2.08,19.888,8.18,18.167,22.964,24.265,25.38,-0.5,2.08,0.725,0.425,0.519,0.586,0.669,1.101,0.08,2.08,1.417,1.359,1.375,1.389,1.419,1.585,0.271,2.08,102.481,83.316,95.434,103.29,109.037,118.583,-0.06,2.08,1.264,1.15,1.182,1.221,1.261,1.292,0.221,0.0,9.091,2.779,4.757,7.444,13.857,16.767,0.299,2.08,47.998,44.719,46.66,47.978,49.529,51.168,0.01,0.0,23.945,2.769,4.327,6.273,53.738,74.899,0.629,0.0,0.064,-12.581,26.81,0.0,60.04,13.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,15.05,43.0,0.0,0.31,14.3,17.33,0.45,0.0,0.0,1.58,0.71,7.26,grass_perc,0.028,0.00049,0.413,0.0,253093,233.265,1,1.3,2.5,2.5,1,1500.0,1.0,0.0,0.0,0.0,1900.0,1900.0,0.23,4.59,21.85,0.13,41.17,23.8,8.17,0.04,0.0,0.02
2185,CH,Chur,Plessur,PleChT,stream,9.51,46.86,2757975,1191925,567.0,264.4,1864.17,567.12,1214.35,1541.96,1919.74,2214.78,2423.4,2923.66,22.73,0.99,77.28,1981-10-01,2020-09-30,39,3.241,1.534,0.473,0.38,0.305,19.051,1.2,jja,226.945,3.739,son,1981-10-01,2020-09-30,39,1.895,0.585,1.255,3.249,0.639,244.564,0.164,5.979,1.667,2.407,82.46,15.536,0.0,67.599,38.02,59.405,70.162,77.306,85.371,-0.16,15.15,20.889,9.38,13.769,17.349,26.845,37.685,0.318,15.15,11.512,4.547,8.358,10.439,13.725,24.909,0.171,15.15,1.15,0.385,0.431,0.59,0.892,1.688,0.15,15.15,1.534,1.288,1.518,1.549,1.59,1.716,-0.078,15.15,87.621,47.709,70.46,92.647,105.791,113.351,-0.167,15.15,0.991,0.03,0.832,1.181,1.241,1.288,-0.378,0.0,7.08,2.595,3.352,4.601,9.119,17.643,0.435,15.15,47.789,38.444,47.61,48.496,49.438,50.869,-0.202,0.0,30.234,21.014,27.404,27.972,30.72,72.008,0.164,0.0,0.044,-12.179,32.22,1.26,3.68,49.18,0.0,2.03,0.71,0.0,0.0,0.0,10.88,0.04,0.0,0.0,44.66,0.0,0.0,0.85,31.62,1.2,0.0,0.0,7.12,13.03,1.52,grass_perc,0.0,0.0,0.0,0.0,13694,51.793,0,0.0,0.0,0.0,0,0.0,,,,,,,0.26,0.0,31.18,0.78,13.66,40.07,14.01,0.04,0.0,0.0
2187,CH,Salez,Werdenberger_Binnenkanal,WeBSal,stream,9.51,47.24,2756795,1234005,435.0,182.6,1009.2,433.85,447.83,472.64,928.19,1402.08,1819.18,2361.14,16.11,25.11,50.45,1981-10-01,2020-09-30,39,4.242,1.669,0.393,0.307,0.12,17.923,1.189,jja,209.176,3.608,son,1981-10-01,2020-09-30,39,3.689,0.87,0.987,1.13,0.767,208.769,1.744,7.391,0.179,1.0,0.0,0.0,0.0,52.898,36.652,40.659,43.369,72.553,78.163,0.575,2.78,28.745,12.316,16.548,35.009,37.221,37.931,-0.584,2.78,18.357,7.603,14.804,19.544,24.475,26.43,-0.178,2.78,1.365,0.416,0.589,0.681,0.92,1.233,0.14,2.78,1.409,1.358,1.367,1.407,1.43,1.606,0.012,2.78,96.445,63.444,86.626,99.346,112.785,113.37,-0.16,2.78,1.192,0.538,0.77,1.026,1.282,1.457,0.555,0.0,7.699,3.041,4.772,4.939,11.369,16.684,0.599,2.78,48.977,46.487,47.38,48.657,50.594,51.738,0.177,0.0,17.681,2.776,4.361,6.341,29.192,57.272,0.569,0.0,0.033,-11.697,40.64,0.0,0.32,58.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,21.11,30.07,0.0,2.07,12.79,14.44,2.89,0.0,0.0,7.74,0.97,7.93,grass_perc,0.0,0.0,0.0,0.0,38188,209.135,0,0.0,0.0,0.0,0,0.0,,,,,,,14.93,0.0,17.14,8.57,27.14,14.05,18.08,0.09,0.0,0.0
2199,CH,Basel,Wiese,WieBas,stream,7.6,47.58,2611800,1269700,251.0,454.4,714.92,250.86,379.13,470.49,700.67,921.5,1099.66,1487.06,14.3,10.17,45.8,1981-10-01,2020-09-30,39,4.14,2.09,0.505,-0.072,0.032,15.41,1.172,djf,204.561,3.636,son,1981-10-01,2020-09-30,39,2.197,0.531,1.508,2.506,0.591,145.487,0.311,6.515,2.487,1.732,41.025,7.018,0.0,47.941,38.172,42.971,45.621,48.485,71.75,0.25,0.0,32.575,13.366,32.622,35.288,35.58,36.778,-0.376,0.0,19.484,13.246,19.26,19.996,22.33,24.454,-0.134,0.0,1.074,0.431,0.619,0.696,1.581,2.323,0.539,0.0,1.423,1.381,1.412,1.417,1.426,1.512,0.134,0.0,85.24,50.259,80.543,94.353,97.826,101.466,-0.472,0.0,1.093,0.35,0.55,0.8,1.05,1.25,0.724,0.0,13.844,5.489,8.304,16.619,16.799,17.192,-0.572,0.0,46.099,43.305,44.655,46.061,47.687,48.774,0.022,0.0,65.211,16.184,30.205,68.998,81.862,141.189,-0.093,0.0,0.046,-13.772,5.21,15.43,5.36,5.97,0.0,0.49,4.21,32.26,0.0,0.0,31.07,0.0,0.0,10.23,20.12,0.83,10.9,32.8,18.87,0.0,0.0,0.0,0.0,0.0,6.25,mixed_wood_perc,0.0,0.0,0.0,0.0,141983,312.463,0,0.0,0.0,0.0,0,0.0,,,,,,,5.31,4.2,1.79,1.03,51.68,26.26,8.26,0.0,1.47,0.0
2200,CH,Zweilütschinen,Weisse_Lütschine,WLuZwe,stream,7.9,46.63,2635310,1164550,657.0,164.9,2147.98,654.48,1284.2,1692.67,2129.87,2590.93,3035.88,4046.19,30.6,0.85,85.41,1981-10-01,2020-09-30,39,4.804,1.217,0.253,0.216,0.449,16.948,1.162,jja,208.894,3.527,son,1981-10-01,2020-09-30,39,4.254,0.886,0.903,4.29,0.698,271.103,0.593,12.23,0.744,1.208,66.486,18.655,0.0,73.4,54.557,67.423,73.939,78.092,85.834,-0.049,57.14,17.689,9.613,15.143,16.299,20.162,31.053,0.181,57.14,8.911,4.553,6.765,8.687,10.671,15.204,0.058,57.14,0.769,0.391,0.469,0.712,0.975,1.249,0.172,57.14,1.534,1.369,1.41,1.54,1.63,1.716,-0.042,57.14,94.431,56.595,80.65,99.708,109.584,113.315,-0.242,57.14,0.546,0.009,0.043,0.087,0.592,1.158,0.716,0.0,4.827,2.729,3.493,4.586,5.0,9.148,0.077,57.14,46.843,38.406,41.043,49.902,51.268,53.505,-0.425,0.15,27.619,26.369,27.213,27.489,28.243,42.306,0.028,0.15,0.045,-13.143,10.03,0.0,4.01,59.17,0.0,0.0,0.0,0.0,0.0,0.0,15.36,0.0,11.42,0.0,28.62,0.0,0.0,6.7,11.77,2.68,0.0,19.35,5.15,24.5,1.23,grass_perc,23.0291,1.14913,976.763,0.0,2396,14.53,0,0.0,0.0,0.0,0,0.0,,,,,,,1.87,0.0,8.16,0.0,37.26,8.1,33.19,11.42,0.0,0.0
2202,CH,Liestal,Ergolz,ErgLie,stream,7.73,47.49,2622270,1259750,308.0,261.2,591.39,308.63,429.19,491.83,574.56,667.44,782.79,1163.61,12.48,9.59,33.57,1981-10-01,2020-09-30,39,2.995,2.058,0.687,0.195,0.045,17.384,1.151,jja,222.278,3.846,son,1981-10-01,2020-09-30,39,1.225,0.409,1.671,2.758,0.512,155.59,0.133,4.121,6.846,1.757,58.845,7.062,0.0,34.654,21.209,32.199,39.6,42.177,43.082,-0.503,0.0,36.674,29.733,32.665,35.257,39.685,43.137,0.241,0.0,28.672,19.44,21.201,23.402,26.057,47.242,0.373,0.0,1.002,0.537,0.603,0.957,1.385,1.542,0.103,0.0,1.309,1.234,1.279,1.293,1.387,1.413,0.227,0.0,104.634,44.947,102.356,107.218,117.406,127.083,-0.096,0.0,1.186,0.54,0.7,0.9,1.1,1.26,1.02,0.0,5.545,3.564,3.664,4.352,6.085,12.08,0.38,0.0,45.449,43.774,44.518,45.189,46.03,48.64,0.19,0.0,72.639,22.432,55.338,70.056,79.805,121.312,0.09,0.0,0.056,-12.146,4.87,0.0,17.08,78.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.23,7.72,1.24,7.93,35.52,0.35,0.0,0.0,0.0,0.0,0.0,10.02,crop_perc,0.0,0.0,0.0,0.0,73166,280.115,0,0.0,0.0,0.0,0,0.0,,,,,,,0.0,4.5,0.37,0.0,50.27,18.48,26.37,0.0,0.0,0.01
2203,CH,Aigle,Grande_Eau,GrEAig,stream,6.97,46.32,2563960,1129860,419.0,131.6,1564.23,419.81,1049.62,1266.73,1541.36,1808.97,2099.59,3165.2,23.64,1.38,77.04,1981-10-01,2020-09-30,39,4.511,1.712,0.38,0.078,0.264,17.948,1.176,jja,216.432,3.79,son,1981-10-01,2020-09-30,39,3.069,0.68,1.412,1.686,0.729,217.077,1.062,7.418,0.154,2.0,1.026,2.5,0.0,68.271,42.926,64.703,72.717,76.869,83.78,-0.317,12.42,20.554,10.072,15.265,16.467,24.354,36.647,0.444,12.42,11.175,5.14,8.051,9.85,13.712,19.604,0.243,12.42,0.766,0.396,0.433,0.651,1.027,1.392,0.299,12.42,1.515,1.34,1.423,1.537,1.588,1.693,-0.172,12.42,90.666,45.05,78.68,96.772,109.901,113.346,-0.223,12.42,1.041,0.036,1.107,1.198,1.249,1.29,-0.32,0.0,6.39,2.751,3.601,4.778,7.655,17.6,0.309,12.42,47.935,40.172,47.458,48.46,49.327,50.489,-0.195,0.08,33.853,6.816,27.508,29.256,31.723,79.31,0.222,0.08,0.074,-12.443,10.95,0.0,16.99,71.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.63,0.34,39.8,0.29,3.47,8.93,28.21,3.78,0.0,1.52,3.73,7.19,2.74,grass_perc,1.8878,0.05704,48.487,0.0,7057,53.625,1,1.75,5.4,5.2,0,0.0,,,,,,,0.0,0.0,9.11,1.84,9.12,48.61,30.58,0.74,0.0,0.0
2205,CH,Untersiggenthal-Stilli,Aare,AarUnt,stream,8.23,47.52,2659970,1263180,333.0,17553.3,1066.12,328.13,447.67,567.21,851.8,1407.28,2012.03,4084.22,14.7,20.85,39.73,1981-10-01,2020-09-30,39,3.91,1.675,0.428,0.203,0.131,14.102,1.158,jja,193.843,3.46,son,1981-10-01,2020-09-30,39,2.725,0.697,1.237,1.242,0.792,214.333,1.232,5.204,0.0,0.0,0.0,0.0,0.0,53.935,36.559,40.581,43.687,71.891,79.096,0.596,13.24,27.958,10.332,16.438,34.428,35.19,38.394,-0.587,13.24,18.107,6.968,12.048,19.666,24.326,27.073,-0.208,13.24,1.43,0.373,0.497,0.603,0.77,1.684,0.165,13.24,1.424,1.224,1.376,1.412,1.525,1.628,0.06,13.24,94.445,47.871,86.0,95.711,106.531,114.045,-0.046,13.24,1.047,0.037,1.096,1.205,1.263,1.39,-0.328,0.0,9.454,2.773,4.766,8.706,14.17,16.916,0.135,13.24,46.913,42.03,44.745,46.801,49.449,51.985,0.031,4.1,45.839,2.756,27.243,30.584,69.233,120.164,0.426,4.1,0.076,-12.829,32.12,1.22,26.29,29.75,0.0,0.18,0.0,1.73,0.02,0.0,3.25,4.11,1.32,26.12,20.67,0.81,1.14,14.38,14.23,1.56,4.25,1.95,2.54,5.26,7.09,crop_perc,285.0368,18.00962,15308.175,0.0,4153352,236.614,33,1108.58,3583.32,3566.88,38,1046710.0,1.0,0.0,0.0,0.0,1910.0,2015.0,3.54,5.449,21.458,1.72,23.708,21.978,16.708,5.439,0.0,0.0
